                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.63227,                0.42211,                0.91989,                0.99901,                0.98227,                0.98746,                0.90104,                0.55185,                0.34422,                0.87168,             0.00045482,             0.00045482,             0.00045482
                    112,                0.67563,                0.48185,                  0.956,                0.99706,                0.97392,                0.98409,                0.89349,                0.54764,                0.34086,                0.87753,             0.00045246,             0.00045246,             0.00045246
                    113,                0.64322,                0.42875,                 0.9312,                  0.999,                0.98139,                0.98704,                0.90087,                0.53888,                0.34022,                0.86925,             0.00045011,             0.00045011,             0.00045011
                    114,                0.66407,                0.43325,                0.92015,                      1,                0.98493,                0.98888,                0.89138,                0.56292,                0.34826,                0.87386,             0.00044775,             0.00044775,             0.00044775
                    115,                0.65338,                0.44073,                0.92903,                      1,                0.97126,                0.98301,                0.89086,                0.55441,                0.35238,                 0.8737,             0.00044539,             0.00044539,             0.00044539
                    116,                0.63268,                0.41195,                0.91967,                0.99777,                0.97691,                0.98527,                0.89421,                0.55554,                0.35444,                0.87278,             0.00044304,             0.00044304,             0.00044304
                    117,                0.64883,                0.43334,                0.91108,                0.99683,                0.98092,                0.98722,                0.90109,                0.53622,                0.34817,                0.86562,             0.00044068,             0.00044068,             0.00044068
                    118,                0.65831,                0.42097,                0.91351,                      1,                0.97942,                 0.9866,                0.90211,                 0.5339,                0.34131,                0.85742,             0.00043832,             0.00043832,             0.00043832
                    119,                0.66634,                 0.4324,                0.94379,                0.99901,                0.98227,                0.98745,                0.90185,                0.54282,                0.34109,                 0.8585,             0.00043597,             0.00043597,             0.00043597
                    120,                 0.6837,                  0.444,                0.92592,                0.99902,                0.98316,                0.98785,                0.90221,                0.54731,                0.34475,                0.86325,             0.00043361,             0.00043361,             0.00043361
                    121,                0.67339,                0.45704,                0.93116,                0.99349,                0.97649,                0.98513,                0.89834,                0.55468,                0.35588,                0.86402,             0.00043126,             0.00043126,             0.00043126
                    122,                0.61434,                0.40395,                0.91446,                      1,                0.98227,                0.98755,                0.90007,                0.53275,                0.34092,                0.86076,              0.0004289,              0.0004289,              0.0004289
                    123,                0.63314,                0.41284,                0.90539,                  0.999,                0.97582,                0.98475,                0.89504,                0.54282,                0.34324,                0.86321,             0.00042654,             0.00042654,             0.00042654
                    124,                0.65372,                0.41697,                0.90745,                0.99873,                0.97149,                0.98266,                0.89842,                0.53776,                0.33447,                0.86828,             0.00042419,             0.00042419,             0.00042419
                    125,                0.63024,                0.43241,                0.92211,                      1,                0.97359,                0.98372,                0.89986,                0.52719,                0.33207,                0.86435,             0.00042183,             0.00042183,             0.00042183
                    126,                0.65052,                0.43235,                0.92035,                      1,                0.98059,                0.98674,                0.90387,                0.51341,                0.32922,                0.86201,             0.00041947,             0.00041947,             0.00041947
                    127,                0.63869,                0.41357,                0.90363,                      1,                0.98059,                0.98674,                 0.9137,                0.50943,                0.33033,                0.86032,             0.00041712,             0.00041712,             0.00041712
                    128,                0.60871,                0.41834,                0.91298,                      1,                0.97625,                0.98504,                0.91352,                0.49141,                0.32482,                0.85446,             0.00041476,             0.00041476,             0.00041476
                    129,                0.63949,                0.40376,                0.92278,                0.99902,                0.97203,                0.98333,                0.90259,                0.50494,                0.32862,                0.85701,             0.00041241,             0.00041241,             0.00041241
                    130,                0.63672,                0.40704,                0.90396,                0.99902,                0.97203,                0.98329,                0.90687,                0.50051,                0.32679,                 0.8557,             0.00041005,             0.00041005,             0.00041005
                    131,                0.60397,                0.40794,                0.91811,                0.99904,                0.98371,                 0.9882,                0.91651,                0.48771,                 0.3194,                0.84664,             0.00040769,             0.00040769,             0.00040769
                    132,                0.60152,                0.40302,                0.90451,                0.99904,                0.98371,                 0.9882,                0.92241,                0.48998,                0.32274,                0.85085,             0.00040534,             0.00040534,             0.00040534
                    133,                0.58746,                 0.4042,                0.90307,                0.99903,                0.98282,                0.98776,                0.92084,                0.48283,                0.32035,                0.84993,             0.00040298,             0.00040298,             0.00040298
                    134,                0.56759,                0.37907,                0.89861,                0.99903,                0.98148,                0.98711,                0.92113,                0.47653,                0.31561,                 0.8509,             0.00040063,             0.00040063,             0.00040063
                    135,                0.60287,                0.37872,                0.88911,                      1,                0.98316,                0.98799,                0.91781,                0.48884,                0.31933,                 0.8498,             0.00039827,             0.00039827,             0.00039827
                    136,                0.58723,                0.38575,                0.90792,                      1,                0.98227,                0.98755,                0.91254,                0.48511,                0.31481,                 0.8508,             0.00039591,             0.00039591,             0.00039591
                    137,                 0.6252,                0.39202,                0.90007,                      1,                0.98227,                0.98755,                0.91871,                0.48421,                 0.3103,                0.85058,             0.00039356,             0.00039356,             0.00039356
                    138,                0.60472,                0.38731,                0.89404,                0.99899,                 0.9805,                0.98658,                0.92507,                0.47693,                0.30963,                0.84654,              0.0003912,              0.0003912,              0.0003912
                    139,                0.62847,                0.39993,                0.89911,                0.99899,                 0.9805,                0.98659,                0.91594,                0.48391,                0.31378,                0.84529,             0.00038884,             0.00038884,             0.00038884
                    140,                0.57122,                0.38152,                 0.9097,                      1,                 0.9805,                0.98667,                 0.9226,                0.48451,                0.31331,                0.84343,             0.00038649,             0.00038649,             0.00038649
                    141,                 0.5919,                0.38908,                0.89785,                      1,                0.97495,                0.98437,                 0.9172,                0.47734,                0.30781,                0.84123,             0.00038413,             0.00038413,             0.00038413
                    142,                0.58302,                0.38752,                0.90389,                      1,                0.98139,                0.98711,                0.93035,                0.44946,                0.29555,                0.83638,             0.00038178,             0.00038178,             0.00038178
                    143,                0.56796,                0.38726,                0.89767,                      1,                0.98227,                0.98755,                0.93632,                0.44737,                0.29458,                0.83624,             0.00037942,             0.00037942,             0.00037942
                    144,                0.55573,                0.36819,                0.90727,                      1,                0.98227,                0.98755,                 0.9243,                0.45692,                0.29836,                0.83737,             0.00037706,             0.00037706,             0.00037706
                    145,                0.60725,                0.39508,                0.89228,                      1,                0.98139,                0.98711,                0.91847,                0.46775,                0.29845,                0.84081,             0.00037471,             0.00037471,             0.00037471
                    146,                0.57512,                0.37313,                0.89199,                      1,                0.98139,                0.98711,                0.92709,                0.44824,                0.29176,                 0.8396,             0.00037235,             0.00037235,             0.00037235
                    147,                0.55327,                 0.3665,                0.88647,                      1,                0.98139,                0.98711,                0.93623,                0.44214,                0.29349,                0.83884,             0.00036999,             0.00036999,             0.00036999
                    148,                0.53916,                0.36735,                0.89025,                      1,                0.98316,                0.98799,                0.93553,                0.44144,                0.28993,                0.83412,             0.00036764,             0.00036764,             0.00036764
                    149,                0.57271,                0.40436,                0.91248,                      1,                 0.9797,                0.98673,                0.93126,                0.44549,                0.29821,                 0.8385,             0.00036528,             0.00036528,             0.00036528
                    150,                0.55453,                0.37551,                0.87995,                0.99744,                0.96937,                0.98251,                0.92606,                0.44038,                0.29504,                0.83578,             0.00036293,             0.00036293,             0.00036293
                    151,                0.58209,                0.37745,                0.89372,                0.99744,                0.97194,                0.98358,                0.92575,                0.44413,                0.29325,                0.83913,             0.00036057,             0.00036057,             0.00036057
